a,b,c,d,e,f
29.012247,16.243577,8.154785,11.428535,15.654940,5
2.177214,2.291388,2.937346,2.278176,7.275121,1
10.140870,12.131632,4.598647,15.091172,7.351714,2
14.507320,15.041123,16.132823,17.070698,7.080187,2
11.096762,7.616085,9.429783,7.520158,2.305397,3
3.599438,4.955944,5.576959,3.148806,2.515797,1
8.902139,6.745055,6.407873,7.584044,8.596298,3
-5.658395,-2.628960,4.026027,-6.926900,-4.535163,4
4.074708,16.397769,4.434871,10.604054,19.614699,5
5.539403,6.313516,7.777892,6.102769,5.793724,3
7.697960,5.867934,6.616110,3.648840,8.412131,3
2.243889,6.310282,6.002965,-0.423561,4.179507,1
9.625933,14.448061,6.716128,7.080184,15.190388,2
15.664741,14.645831,15.806263,10.829717,8.400346,5
-0.205939,-10.897105,7.597123,-5.035088,-1.808564,4
2.034762,1.090688,1.480413,-5.148128,-2.755823,4
3.059065,7.752476,1.351166,5.256267,6.939524,3
2.616419,3.255723,5.416570,6.080861,2.351610,1
5.032041,0.819396,1.468814,2.733341,6.012796,1
-5.996631,-0.629810,-5.933335,1.907211,-11.514939,4
6.629582,5.783955,5.600822,2.108350,6.284175,1
5.970685,8.281493,9.244783,5.801878,10.205511,3
-7.036840,-3.232816,5.747717,1.659940,-2.090703,4
18.351204,27.177119,21.206943,8.091390,15.929241,5
13.485163,9.602032,9.030096,14.170063,9.876995,2
13.024797,13.167463,14.399256,7.795505,2.221175,2
24.871397,16.681074,15.519331,14.759674,21.071396,5
9.964673,13.227627,8.535021,17.975616,16.036588,2
5.362681,4.193669,4.116131,6.660440,6.215267,1
3.206293,3.650942,4.565675,3.983635,3.911438,1
0.387601,0.598832,4.097213,3.121881,4.521228,1
2.971838,0.566026,5.516898,0.027460,2.147382,1
10.984606,7.872161,11.429199,7.434118,3.207999,3
21.215985,13.445677,18.785850,14.681724,15.236529,5
3.152391,4.379681,1.153485,3.097641,4.241017,1
9.286184,13.425174,6.022363,18.144948,9.184240,2
6.826496,4.593262,7.459764,1.976463,-1.030334,3
4.512500,3.023333,4.187220,10.921221,2.762666,3
6.262879,5.764506,5.968140,4.044906,8.271841,2
-1.057799,-9.968631,-0.343550,-5.088024,-1.848738,4
7.965349,18.251261,15.782394,13.807730,23.823810,5
0.293767,0.686337,-0.812424,-2.197253,-2.230381,4
7.746554,4.663839,4.148276,7.691874,9.274271,3
13.440239,19.212636,13.121000,17.150072,18.894570,5
8.147377,17.248328,13.918276,19.397062,9.447042,2
-9.544410,-3.914213,3.587901,-4.932267,-10.399403,4
-0.845224,-8.758796,1.129402,4.229820,-0.222631,4
9.484356,5.834909,9.835882,4.774081,7.406929,2
-1.983097,-3.053431,-9.307520,-0.684293,3.574323,4
8.074687,14.085034,4.832629,15.108805,10.626408,2
8.677777,8.264176,4.146750,8.544609,6.064051,3
1.904120,4.496959,4.715346,4.771509,1.957971,1
9.828173,7.515248,12.277014,7.526688,9.454809,3
18.796723,21.908215,23.287959,19.352534,25.155310,5
13.746484,14.524885,8.394639,8.880122,7.957314,2
11.075699,10.440487,9.890929,9.350236,12.469976,2
4.909534,5.121170,1.387311,4.922583,1.224764,1
18.941082,17.459500,20.728510,11.100740,13.722188,5
1.358123,3.293362,3.131184,6.206485,1.291140,1
19.719145,6.830842,13.456879,12.571047,18.075485,5
22.733291,16.036135,12.131416,8.986101,11.441768,5
15.057167,16.361688,6.299004,20.322168,8.620014,5
7.816781,9.526059,9.848507,7.750666,1.560220,3
10.989281,15.440236,9.160737,13.054541,9.775962,2
5.672420,5.837647,6.274230,6.477299,4.093687,3
12.661020,10.096206,4.401496,10.538740,5.746527,2
12.498395,18.534150,10.376947,25.606538,20.464240,5
4.651367,3.634075,4.167822,5.632390,8.009931,1
3.645862,5.686368,-2.093239,3.465363,5.904261,1
12.400990,12.321696,12.029744,22.548146,9.679143,5
7.922271,5.381899,9.505193,7.065665,13.231727,2
2.909645,5.465673,2.476395,5.087309,2.236038,1
6.369187,2.072933,9.697513,6.002071,9.352103,3
7.974927,16.315184,7.847022,11.978848,8.062203,2
7.057194,3.613487,6.824282,11.284634,-4.035885,3
1.913190,1.792826,4.982609,1.868032,2.109166,3
3.959403,4.185059,3.812669,2.317842,5.635383,1
7.966841,14.927140,8.718043,11.319160,13.411068,2
-4.758855,-2.511030,-1.744175,3.574124,-3.348435,4
11.578058,6.511694,19.854432,16.368480,14.011457,5
0.873116,8.175165,1.929202,3.143923,11.656210,3
2.032522,12.016535,16.449103,16.675412,7.810458,5
-3.210158,-2.030119,6.813610,1.634523,-0.121694,4
4.305676,2.623606,0.726755,2.458119,3.759424,1
7.308664,6.031967,3.842219,3.946190,4.632289,1
11.838145,14.694284,6.001407,7.467621,8.344629,2
14.570505,14.471906,15.390225,24.157224,13.035163,5
-3.493229,-5.283329,-4.417575,-0.070648,-6.152808,4
7.604380,7.827779,9.548834,8.579442,0.253656,3
9.209177,22.709235,17.106034,7.935234,12.854867,5
4.777128,8.015084,4.689553,4.531423,4.972985,3
22.913330,15.151200,10.389137,11.396145,13.681716,5
-4.912681,-1.077391,-1.548538,-7.769709,-2.265724,4
7.397028,4.997798,12.604283,6.552871,9.106889,3
17.148658,12.736553,18.464368,8.926905,13.129705,5
3.591760,3.744711,5.023435,1.104423,7.139035,1
8.611958,9.376006,4.265743,10.574350,7.230837,3
-5.966491,-1.696199,-3.585062,-3.178351,-3.851068,4
4.564891,3.375282,4.705942,9.582544,9.412075,3
9.170777,14.668917,16.682033,10.794950,12.728238,2
6.574286,7.116912,5.089948,4.668111,2.708694,1
3.299587,5.682471,-6.268964,-1.196378,-0.739694,4
-6.113216,-8.801726,-3.996007,-4.092941,-7.454646,4
-0.794673,-1.277626,-0.998726,6.285838,0.335261,4
6.058340,7.648402,4.064171,5.163970,10.451167,3
0.848513,10.203236,5.743598,2.857658,6.040678,3
2.603314,6.388700,6.119662,3.681495,2.993455,1
1.051426,-0.264908,1.151465,-4.717103,-1.535931,4
3.864614,-4.593715,0.468665,2.412171,-2.883181,4
4.480585,5.434147,10.195123,6.775711,6.206282,3
16.051529,10.260959,12.091063,15.443033,10.492809,2
0.829657,0.835015,7.733536,6.371559,3.914723,1
12.942786,18.925985,21.128476,17.862408,7.251528,5
3.204527,5.443233,5.599754,3.832262,6.284175,1
1.221594,-5.894934,-5.688339,-2.488857,6.920417,4
5.541790,6.376620,10.993469,9.380688,8.076664,2
10.428041,7.288414,7.295562,7.931854,7.347549,2
0.110915,-5.506123,-1.404478,-8.767229,-5.506421,4
2.930321,9.573696,0.141571,6.163227,4.736201,3
1.196902,8.711835,-6.477766,-3.661905,-1.235529,4
19.700782,16.811096,18.784477,5.423547,13.188190,5
10.295357,17.985846,8.131900,22.905708,23.300621,5
8.143166,14.048470,20.626986,23.644366,23.337114,5
11.799857,12.645594,13.011224,15.180042,1.894331,5
4.115912,3.960300,6.296559,4.080741,5.254771,1
16.453134,25.993436,10.476424,12.275943,13.441630,5
13.294544,11.621236,8.640827,8.296540,7.949042,2
18.219266,7.567992,7.602847,12.680378,8.496329,2
-2.999258,0.768075,-4.452631,1.026605,-5.087173,4
7.804112,13.049043,13.031085,10.330245,1.052490,2
11.470670,13.593112,8.071137,10.855362,10.462390,2
3.091280,6.091281,3.681023,6.809832,7.669263,3
3.779264,23.261313,15.878823,14.407146,15.270424,5
11.486349,9.283210,4.611065,0.037477,2.837910,3
14.566439,13.244414,7.343270,23.369496,14.368026,5
2.804877,13.654411,11.103084,7.962165,6.056020,3
5.823788,2.607562,4.139878,6.069188,3.494220,1
13.440023,8.974263,8.239729,7.121622,6.451122,5
21.845718,5.710054,9.763911,16.489272,16.563063,5
10.995848,12.146451,12.460414,19.683527,23.256281,5
6.891542,6.697317,5.908393,10.363249,8.377318,3
3.692429,9.940573,3.982457,6.396015,4.837571,3
5.296971,3.884035,5.223435,4.056738,3.512527,1
5.076959,5.940426,6.276898,4.140165,5.986217,3
5.183454,10.823815,7.504477,1.790623,6.803260,3
-4.518223,-5.087995,-1.489602,-3.109283,-7.510040,4
0.387801,5.672054,4.655191,3.052477,3.339459,1
5.600571,-9.165359,-2.041797,-5.808349,-1.985230,4
11.782233,17.709193,16.543096,21.702557,13.778583,5
11.928020,6.100255,5.286564,7.841088,5.933329,3
0.698835,2.196172,0.326011,5.878376,6.602333,1
8.033790,8.605204,7.710545,4.797883,5.797616,3
26.189611,14.479005,12.740275,11.586823,12.508034,5
-0.557383,2.295162,5.869737,3.959372,4.963531,1
9.340382,9.052275,9.201506,9.927235,10.073452,3
10.261200,4.013902,6.763023,4.729844,8.333727,3
6.076502,3.639279,4.003813,7.356811,2.453002,3
4.421350,0.674019,-6.657932,0.789330,-4.477351,4
-14.952312,0.572872,-0.704829,-13.141724,-1.287907,4
-1.052942,7.029766,3.832414,3.182038,1.749162,1
1.811549,-1.980547,5.642426,2.987682,0.895900,1
-4.993510,-5.348632,-1.798790,-6.269883,2.972304,4
-6.486084,0.635066,-13.847249,-1.797717,-5.805805,4
0.791394,1.647180,-14.225410,2.290010,-3.785356,4
10.044136,7.705476,5.528499,15.387919,6.322031,2
6.201124,8.787896,10.874050,5.442870,3.693397,3
8.191787,28.935022,12.775702,17.086750,6.859300,5
11.526159,10.424348,17.857936,19.918211,8.912827,5
5.913387,2.103662,2.593928,6.960602,2.140842,1
4.008301,3.674125,0.993329,3.551859,3.065224,1
3.053756,-8.921067,-1.096041,-7.731228,-10.818269,4
13.672447,7.321982,3.669153,5.539899,12.560537,2
5.751173,3.317329,1.843123,5.140530,5.535959,1
-2.706952,-5.172315,-2.116675,-0.993656,0.599166,4
1.471394,-11.832434,-5.956097,-2.043687,-0.855030,4
11.084621,14.701864,25.893015,4.362466,8.534467,5
-3.023701,-4.909613,-9.056712,4.605521,-7.372668,4
27.067548,19.650719,19.304644,11.464868,9.466188,5
4.677634,4.488417,5.498518,6.798197,5.161697,3
6.692407,2.768371,6.297293,5.327784,9.927358,3
12.542894,15.816740,8.332139,16.295090,13.544757,5
-0.252130,8.285516,0.339119,-10.104440,-5.791188,4
6.199424,2.682799,2.934459,4.705706,3.563423,1
20.470518,14.800452,14.530131,12.530223,29.843899,5
-3.596444,1.215411,-7.369743,-0.007335,-10.075806,4
7.775628,12.800305,4.906002,12.710841,15.073295,2
15.315283,7.483377,8.265706,9.713876,10.106467,2
9.058782,9.311833,8.943270,23.633611,22.548344,5
-1.342256,-3.730085,-10.858911,-0.405989,-1.953018,4
6.670645,9.285909,12.894926,14.008678,10.679873,2
7.773335,18.435757,9.454750,19.464648,16.686169,5
11.818626,11.338623,14.524986,6.063804,9.726886,2
7.618546,7.773543,13.204287,4.578944,2.020512,3
9.949308,10.418957,6.973854,11.121171,8.268795,2
5.033843,11.721501,5.088508,7.603857,6.703084,3
9.091564,5.782177,6.241821,5.274149,1.742903,1
3.320676,4.339942,10.913223,5.658299,6.914462,3
-3.340566,-2.358836,4.616024,-8.819653,-9.940240,4
10.931263,7.063193,7.596942,4.161179,6.704946,3
6.246939,1.196008,9.026989,4.714145,4.645694,1
12.537861,10.292243,17.163017,12.577441,6.565752,2
4.453350,7.260335,8.473194,1.213410,13.821726,3
13.952262,12.534381,15.932479,6.259528,14.608742,5
7.250232,9.905019,6.146465,11.709735,3.848182,3
8.361499,13.859810,8.924059,8.253836,14.772899,2
9.587829,21.677075,18.052200,22.570985,12.857882,5
6.299605,2.295594,1.986087,5.527172,4.635041,1
11.241354,7.604457,-0.106649,8.096982,10.297403,3
6.211059,6.988367,14.282136,10.007581,1.106989,2
10.957327,4.734702,7.538273,-0.115168,9.053349,3
5.636350,5.230943,5.639829,7.593928,3.155451,1
1.686180,-5.877174,4.144136,-4.010466,-9.110864,4
-7.903308,-0.415308,-11.116459,-4.744048,-2.038127,4
6.520213,20.079714,14.866151,4.179776,13.505950,2
6.927287,13.303052,8.588733,5.984857,5.296420,3
12.084118,17.443021,21.830522,16.055897,16.419747,5
9.623669,11.224537,11.996262,7.243822,10.061153,2
3.612523,5.675528,4.693867,9.155848,3.637808,3
22.477576,20.741884,8.907291,10.441326,17.680396,5
9.289254,8.826424,8.836062,2.881407,20.701606,2
-4.610029,-6.081236,0.587426,-1.766806,-4.245868,4
21.401520,13.062876,12.993062,18.017625,6.747681,5
1.833093,-2.529036,-2.094486,-0.718318,-0.413628,4
2.834444,5.115641,4.915703,3.755817,3.806322,1
8.678114,5.859764,3.922290,10.583086,2.929217,3
2.015506,-8.735695,7.027339,-5.957060,2.909299,4
3.038876,7.776585,4.717566,13.706777,7.611195,3
-0.799368,-4.705498,-7.585112,2.086028,6.323565,4
16.626018,2.599796,13.466333,13.982772,19.954976,5
1.445199,6.062397,0.703921,3.406398,1.679319,1
8.319364,4.866479,-0.296774,2.287077,9.611434,3
2.761791,5.661265,3.619974,2.568811,9.637435,1
4.806646,3.790979,7.399470,6.785989,3.598732,1
2.668364,4.279188,1.494432,5.130080,2.102205,3
3.138538,0.900472,8.129486,2.073634,4.344008,1
9.565582,8.986799,12.506749,5.925865,15.539793,2
4.012683,3.724086,8.332541,6.955664,7.819440,3
-2.153192,-2.582477,-11.022576,-4.164036,0.568057,4
-0.117918,3.120807,-6.089726,-3.363476,-1.260491,4
7.585665,8.317816,9.358029,7.880399,7.457561,3
14.614653,23.854954,16.334546,19.596705,15.667995,5
6.370450,6.834395,12.269270,19.874746,12.624402,5
21.194250,23.271915,11.214970,12.500303,10.210903,5
6.716310,10.313108,10.051587,16.331020,12.768772,2
8.562324,13.207180,12.175907,13.754342,21.746819,5
4.444421,3.520556,3.895497,5.175851,4.419672,1
8.986883,13.766569,3.355365,13.060065,9.504573,2
14.201973,14.008377,10.018608,16.917670,9.514088,2
-7.653602,6.800982,2.912907,-4.375716,-4.889617,4
0.524179,-5.484742,-3.128658,-4.526878,-5.041551,4
6.217029,8.086392,9.122438,1.263030,8.568794,3
-2.618827,8.057710,3.107670,-9.978213,2.253009,4
8.414589,3.141834,3.105800,3.223695,5.727194,1
13.667563,12.156370,10.440129,16.047593,15.504303,5
3.701994,8.304872,4.005705,4.890580,6.078035,3
5.305186,1.533158,1.679104,5.178699,6.175046,1
18.347666,4.468799,14.607423,16.811501,15.453624,5
10.842701,6.940174,11.216612,11.582524,9.041595,2
11.175733,12.122411,6.766454,6.727544,11.819290,2
10.449870,6.636200,9.784165,11.350160,16.664741,5
17.329006,28.956486,23.894379,14.803276,15.250804,5
3.309889,0.430192,5.386121,3.482378,2.581272,1
3.529867,-8.386309,-7.912650,-1.770851,-1.709952,4
16.059165,12.257545,15.479902,15.172108,16.869662,5
3.565954,8.982038,9.829533,6.913068,10.315330,2
1.964923,0.084041,8.143688,11.340037,4.937191,3
7.795428,3.687315,4.911813,6.994341,6.917389,2
15.773752,13.293848,16.133270,18.544225,10.166354,5
6.172403,15.740846,13.577871,9.566463,4.012637,2
9.938831,11.044882,5.965667,13.357336,8.477944,3
7.874410,13.916979,10.581683,12.604922,10.318517,2
-2.062865,-5.706930,1.246464,-13.215858,6.671110,4
13.441472,9.470901,11.718535,5.897084,11.035712,3
0.752120,6.399134,-4.309855,3.032133,-15.074581,4
1.900516,11.768445,4.011434,2.878402,4.629348,3
7.734606,3.597040,6.065739,6.414936,4.524066,1
18.835110,15.718641,9.981396,13.927361,25.146011,5
-3.713508,-5.673575,-3.808640,7.365465,-7.689933,4
4.185896,3.972858,10.886235,4.331942,6.676936,1
6.563099,2.676661,8.304002,6.129230,2.319121,3
13.582940,16.468087,17.255742,21.062179,19.513069,5
1.449287,4.905091,6.839157,7.421477,14.060232,3
-3.441095,-3.453048,-5.448788,-0.986052,-4.148506,4
4.046262,12.125179,7.684110,14.594091,3.926393,2
-14.384791,-1.772584,-11.476650,-5.411566,-7.580636,4
11.228797,19.258261,13.573309,11.614298,15.641926,5
9.987189,21.541541,19.630113,27.571762,18.489640,5
-4.341754,0.780195,-12.200612,-10.124584,-10.028454,4
7.201277,9.497329,12.973214,11.873889,4.061094,2
5.037157,6.118771,11.523572,6.470856,7.048280,3
-6.002754,0.788779,-6.355180,-5.506576,-7.544811,4
6.635598,10.849757,10.291862,5.426293,8.142057,3
5.114045,4.395493,5.232617,8.508013,4.094263,1
-3.685355,7.295212,-0.252533,-9.617843,0.114773,4
9.850896,8.828144,15.402870,9.553131,5.454887,2
8.369714,1.193921,12.574364,-1.694036,6.042599,3
4.322370,8.409141,2.850327,4.929824,4.576889,1
16.145734,14.140406,16.233668,13.043756,6.916759,2
-0.789766,2.412080,-7.494418,1.635076,-10.857754,4
1.023171,5.125274,3.572482,6.660225,3.862549,1
7.043320,11.077996,7.519098,1.086698,-0.346604,3
-0.506994,7.141178,3.159549,4.141585,12.257099,3
8.745044,6.149455,3.924889,7.446131,7.093663,3
19.203242,19.469278,14.495586,4.941159,12.743023,5
-7.693702,-4.997540,-5.724264,0.906258,-4.789735,4
-5.887645,-9.007394,-3.098251,4.831662,-10.226152,4
7.511949,3.492124,5.012434,3.066783,5.298797,1
8.936779,6.666787,8.715399,8.054111,4.125192,3
10.525981,12.421985,10.275274,11.699877,4.367190,2
-7.081208,7.689947,-4.578486,1.348658,1.466661,4
7.419099,10.278822,8.534519,11.170259,14.212437,2
24.867733,18.123376,23.274227,15.131535,16.117240,5
15.779317,14.222481,17.540037,7.448917,12.382779,5
16.819497,12.614675,10.066393,10.963085,5.000762,2
13.648153,3.088154,4.490383,14.285377,15.464719,5
5.998661,3.448008,3.342553,4.456918,5.982473,1
25.792660,20.671189,14.542666,17.046229,12.205610,5
6.276857,1.209807,6.169464,5.833109,5.451059,1
6.427381,4.420813,3.196882,2.861237,1.609853,1
10.572037,13.860870,10.650842,11.459026,5.046750,2
-5.277996,3.718884,-10.463304,-9.810268,2.689515,4
4.615438,4.957085,8.958222,8.085232,10.300211,2
10.748334,12.547758,7.942403,13.680657,17.358688,5
8.188115,10.857769,1.921797,4.031194,9.020802,3
2.142302,-4.125303,-0.399466,3.428197,-14.191760,4
5.218220,3.521845,3.151337,2.951232,5.120847,1
5.005372,8.072980,3.617266,5.724660,11.900879,3
-2.490753,-2.236018,-8.077087,-5.273284,-6.985735,4
4.384086,8.007058,5.574300,8.581443,4.252848,3
14.850209,10.123559,17.236918,8.360840,6.977860,2
7.497286,9.585202,12.718477,7.209060,9.585894,2
15.813354,12.884668,12.253926,9.992862,31.419938,5
5.195406,5.021882,6.750589,2.812578,4.413609,1
-4.159625,-7.452597,-2.397865,-3.037979,-6.062223,4
12.853221,5.065698,14.289341,9.901977,12.950288,2
5.511473,7.083997,1.548699,4.175217,4.073305,1
11.710932,11.840654,10.829309,9.190155,11.872645,2
8.675926,7.258010,3.031405,7.992274,1.010399,3
23.311810,22.376655,10.562909,15.849821,16.290683,5
-4.515791,-0.721786,-10.099623,-3.785232,-4.887073,4
1.383306,0.388113,0.054709,-0.737359,-1.849266,4
9.088070,6.751394,9.627140,6.594328,11.665492,2
4.059873,6.710505,4.550401,5.159623,3.583717,1
5.112686,3.288202,5.703275,7.371661,9.011367,3
12.180463,10.012660,16.734530,20.159825,18.865906,5
15.964215,18.276100,11.079423,10.551727,19.522472,5
2.027777,1.156268,4.825781,2.378403,5.591493,1
-7.745628,-1.444916,6.352896,-3.371194,-9.079192,4
-0.942327,1.761619,-0.755125,2.990031,0.718793,4
18.001789,28.327446,18.989975,15.888225,15.077790,5
18.443271,13.865201,13.430111,17.550550,11.717474,5
4.687496,4.477380,3.549885,5.366421,5.254595,1
6.015994,8.060780,12.400450,15.625544,12.589460,2
6.342087,-5.564553,2.795691,0.887774,-3.108812,4
19.057857,11.027099,21.165114,16.283076,11.579145,5
3.241016,4.534345,3.490981,3.696073,5.885809,1
4.707770,7.560952,3.763992,9.423034,3.653986,3
3.862970,4.838316,3.348803,4.097201,3.947531,1
9.870934,6.881762,12.943569,11.731389,23.303191,5
12.842960,11.690063,13.376878,12.420166,10.981638,2
3.765103,0.505856,5.614386,4.629712,1.305891,1
9.511381,13.786067,6.235510,6.058724,4.075900,3
4.756204,8.386250,13.321232,10.249211,13.081074,2
4.280772,6.610517,9.732367,5.064162,5.200328,3
20.804104,13.532149,17.230398,11.763026,13.943723,5
-4.318126,-4.245852,2.614398,-3.098763,9.526090,4
0.306965,8.402565,2.991588,6.043108,8.827644,3
8.892066,7.449831,9.084937,10.445964,5.690815,3
-2.280393,6.075339,2.670394,6.830070,5.295301,1
-9.861201,-6.860701,-5.350860,-5.384411,-1.883954,4
-11.303102,-8.615501,-4.044709,-0.476028,-4.781927,4
7.584113,8.605540,5.359800,3.219768,10.381260,3
9.610028,12.388969,18.958169,1.347181,5.425511,2
12.366360,4.027660,7.582494,7.387570,17.773712,2
7.573769,4.245456,17.270239,11.067277,5.520372,2
-9.562320,-7.144681,-8.509769,-8.368548,3.479434,4
13.523473,5.190484,8.327854,8.747804,6.508578,3
18.873323,12.815533,18.650063,7.986669,10.396768,5
2.949923,2.744340,3.342977,4.335217,4.597943,1
3.341428,12.875917,16.132695,13.214782,19.281458,5
7.504187,17.156078,11.168287,15.074800,6.005681,2
3.665841,-1.291374,-6.066261,0.909747,0.476909,4
8.043862,13.381016,12.937920,11.872932,17.340835,5
11.193523,8.438465,8.488696,12.528736,15.537138,2
8.123058,9.853922,9.255765,4.813253,9.388233,2
0.763189,2.376377,-7.729079,-0.408869,-5.787860,4
11.687993,7.589529,4.306347,1.096295,6.156906,3
2.353131,6.332773,2.051531,6.753395,6.338405,3
4.785512,1.622659,5.448088,5.197055,6.391904,3
15.608118,16.275387,15.533527,13.813137,24.332871,5
9.296071,7.376692,12.634114,4.254348,2.837743,3
2.313913,13.431843,14.082345,5.861970,20.504871,2
11.180598,15.517776,10.200938,9.500659,11.702984,2
6.827342,9.426497,10.604712,7.966819,12.693381,2
-0.236304,0.053723,-6.951764,-3.974648,-1.632403,4
7.397642,7.220470,8.470612,21.409541,4.790465,2
7.649421,5.618254,8.351758,9.202755,3.240119,3
4.611934,4.624206,11.121571,2.264913,3.791271,3
5.695875,9.017250,12.845989,9.632641,8.427731,3
7.894288,7.155239,5.624659,7.383222,3.219301,3
10.683729,6.808324,2.948026,7.233274,8.248106,3
3.393497,11.849736,11.489255,4.704597,8.750816,3
5.137700,1.700686,5.379921,5.001370,-0.034079,1
12.428295,18.840816,11.888804,5.954626,11.533448,2
2.258033,2.914566,5.186828,7.338557,3.603122,1
9.526989,9.622451,11.143074,10.115008,13.059345,5
10.359056,4.785599,5.667698,10.327606,6.998350,3
12.980934,5.559546,12.385644,8.449495,8.764476,2
16.521416,9.812233,11.388207,11.160193,12.226202,2
